,Publication Title,All Science Classification Codes (ASJC),Item Title,Publication Year,in/out,use types,census,notes
859,Schizophrenia Bulletin,2738; ,"Social deprivation, inequality, and the neighborhood-level incidence of psychotic syndromes in East London",2014,in,"ancillary data source for new analysis (e.g., as base map)",,
860,Science of the Total Environment,2310; 2311; 2304; 2305; ,Differences in nitrate and phosphorus export between wooded and grassed riparian zones from farmland to receiving waterways under varying rainfall conditions,2017,in,"ancillary data source for new analysis (e.g., as base map)",,
861,Science of the Total Environment,2310; 2311; 2304; 2305; ,"Antimony in the soil-water-plant system at the Su Suergiu abandoned mine (Sardinia, Italy): Strategies to mitigate contamination",2014,in,"ancillary data source for new analysis (e.g., as base map)",,
862,Science of the Total Environment,2310; 2311; 2304; 2305; ,Disturbance automated reference toolset (DART): Assessing patterns in ecological recovery from energy development on the Colorado Plateau,2017,in,main data source for new analysis,,multi source
863,Science of the Total Environment,2310; 2311; 2304; 2305; ,Estimating the leakage contribution of phosphate dosed drinking water to environmental phosphorus pollution at the national-scale,2016,in,main data source for new analysis,,
864,Science of the Total Environment,2310; 2311; 2304; 2305; ,Evaluating the effectiveness of restoring longitudinal connectivity for stream fish communities: towards a more holistic approach,2016,in,Providing study background,,
865,Science of the Total Environment,2310; 2311; 2304; 2305; ,A comparison of methods used to calculate normal background concentrations of potentially toxic elements for urban soil,2015,in,main data source for new analysis,,
866,Science of the Total Environment,2310; 2311; 2304; 2305; ,Methodology for the determination of normal background concentrations of contaminants in English soil,2013,in,"ancillary data source for new analysis (e.g., as base map)",,
867,Science of the Total Environment,2310; 2311; 2304; 2305; ,"Source, variability, and transformation of nitrate in a regional karst aquifer: Edwards aquifer, central Texas",2016,in,main data source for new analysis,,
868,Science of the Total Environment,2310; 2311; 2304; 2305; ,Determining in situ periphyton community responses to nutrient and atrazine gradients via pigment analysis,2015,in,main data source for new analysis,,
869,Science of the Total Environment,2310; 2311; 2304; 2305; ,Water consumption related to different diets in Mediterranean cities,2016,in,main data source for new analysis,,
870,Science of the Total Environment,2310; 2311; 2304; 2305; ,Ascertaining the impact of public rapid transit system on spread of dengue in urban settings,2017,in,main data source for new analysis,,multi-source
871,Science of the Total Environment,2310; 2311; 2304; 2305; ,Tracing sources of organic matter in adjacent urban streams having different degrees of channel modification,2014,in,Providing study background,,
873,Scientific Reports,1000; ,"The relationship between climate change & the endangered rainforest shrub Triunia robusta (Proteaceae) endemic to southeast Queensland, Australia",2017,in,"ancillary data source for new analysis (e.g., as base map)",,
874,Scientific Reports,1000; ,"Assessing Connectivity Between an Overlying Aquifer and a Coal Seam Gas Resource Using Methane Isotopes, Dissolved Organic Carbon and Tritium",2015,in,main data source for new analysis,,
875,Scientific Reports,1000; ,Anatomy and efficiency of urban multimodal mobility,2014,in,main data source for new analysis,,
876,Scientific Reports,1000; ,"Strong geologic methane emissions from discontinuous terrestrial permafrost in the Mackenzie Delta, Canada",2017,in,"ancillary data source for new analysis (e.g., as base map)",,
877,Scientific Reports,1000; ,The scaling of human contacts and epidemic processes in metapopulation networks,2015,in,"ancillary data source for new analysis (e.g., as base map)",,
878,Scientific Reports,1000; ,Impacts of increasing typhoons on the structure and function of a subtropical forest: Reflections of a changing climate,2017,in,"ancillary data source for new analysis (e.g., as base map)",,
879,Scientific Reports,1000; ,Postglacial range expansion and the role of ecological factors in driving adaptive evolution of Musa basjoo var. formosana,2017,in,"ancillary data source for new analysis (e.g., as base map)",,
880,Scientific Reports,1000; ,Microbial community response to hydration-desiccation cycles in desert soil,2017,in,"ancillary data source for new analysis (e.g., as base map)",,
881,Scientific Reports,1000; ,Limits of predictability in commuting flows in the absence of data for calibration,2014,in,main data source for new analysis,y,
882,Sedimentary Geology,1913; 1907; ,"Stratigraphic evolution of a long-lived submarine channel system in the Late Cretaceous Nanaimo Group, British Columbia, Canada",2016,in,"ancillary data source for new analysis (e.g., as base map)",,
883,Sexually Transmitted Diseases,2725; 2726; 2739; 2708; ,"Trends in HIV diagnoses, HIV care, and uptake of antiretroviral therapy among heterosexual adults in England, Wales, and Northern Ireland",2014,in,"ancillary data source for new analysis (e.g., as base map)",,
884,Sexually Transmitted Infections,2725; 2708; ,Prevalence of sexually transmitted infections including HIV in street-connected adolescents in western Kenya,2015,in,Providing study background,,
885,Sexually Transmitted Infections,2725; 2708; ,HIV indicator condition-guided testing to reduce the number of undiagnosed patients and prevent late presentation in a high-prevalence area: A case-control study in primary care,2015,in,aiding result interpreting,,
886,Sexually Transmitted Infections,2725; 2708; ,The impact of genital warts: Loss of quality of life and cost of treatment in eight sexual health clinics in the UK,2011,in,"ancillary data source for new analysis (e.g., as base map)",,
887,Significance,2613; ,Have London's roads become more dangerous for cyclists?,2013,in,main data source for new analysis,,
888,Simulation Modelling Practice and Theory,1708; 2611; 1712; ,A simulation framework for network performance evaluation of large-scale RF-mesh AMIs,2017,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
889,Social Network Analysis and Mining,1706; 1709; 2214; 3315; 1710; ,The social distributional hypothesis: a pragmatic proxy for homophily in online social networks,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
890,Social Policy and Administration,3321; 3312; 3303; ,Child Poverty and Ecological Contexts of Deprivation and Well-being: A Critical Review of Budgeting and Social Policy in India,2015,,,,
891,Social Policy and Society,3320; 3312; ,The drivers and impacts of family obligations and overseas remittances practices: A case study of Pakistani-origin individuals in the UK,2014,in,"ancillary data source for new analysis (e.g., as base map)",,
892,Social Problems,3312; ,Buying time: Gendered patterns in union contracts,2012,in,Providing study background,y,
893,Social Psychiatry and Psychiatric Epidemiology,2738; 3207; 3306; 2713; ,Perceived need for mental health care among non-western labour migrants,2009,in,"ancillary data source for new analysis (e.g., as base map)",,
894,Social Psychiatry and Psychiatric Epidemiology,2738; 3207; 3306; 2713; ,Predicting psychiatric inpatient costs,2016,in,"used for result evaluation (e.g., as ground truth)",,
895,Social Science and Medicine,1207; 3306; ,Reduced burden of childhood diarrheal diseases through increased access to water and sanitation in India: A modeling analysis,2017,in,main data source for new analysis,,
896,Social Science and Medicine,1207; 3306; ,Political contexts and maternal health policy: Insights from a comparison of south Indian states,2014,in,"ancillary data source for new analysis (e.g., as base map)",,reasons for a case to be selected.
897,Social Science and Medicine,1207; 3306; ,Comparing the validity of the payment card and structured haggling willingness to pay methods: The case of a diabetes prevention program in rural Kenya,2016,in,Providing study background,,
898,Social Science and Medicine,1207; 3306; ,Protecting the public or setting the bar too high? Understanding the causes and consequences of regulatory actions of front-line regulators and specialized drug shop operators in Kenya,2013,in,Providing study background,,
899,Social Science and Medicine,1207; 3306; ,Risk is for the rich? Childhood vaccination resistance and a Culture of Health,2016,in,main data source for new analysis,,
900,Social Science and Medicine,1207; 3306; ,Where do they go and how do they get there? Older adults' travel behaviour in a highly walkable environment,2015,in,Providing study background,y,
901,Social Science and Medicine,1207; 3306; ,Does walking explain associations between access to greenspace andlower mortality?,2014,in,main data source for new analysis,,multi-source
902,Social Science and Medicine,1207; 3306; ,"Health, policy and geography: Insights from a multi-level modelling approach",2013,in,"ancillary data source for new analysis (e.g., as base map)",,
903,Social Science History,3301; 1202; ,The past is prologue: African American opinion toward undocumented immigration,2015,in,main data source for new analysis,y,
904,Soft Computing,2608; 2614; 1712; ,A general approach to the measurement of change in fuzzy concept lattices,2013,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
905,Soil Science Society of America Journal,1111; ,The automated reference toolset: A soil-geomorphic ecological potential matching algorithm,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
906,Soil Use and Management,2310; 1111; 1102; ,"Regional trends in Scottish advisory soil acidity and phosphorus results: Significance of management history, land use and soil attributes",2016,in,Providing study background,,
908,Solid Earth,1911; 1913; 1904; 1906; 1907; 1908; 1111; ,"Evolution of a highly dilatant fault zone in the grabens of Canyonlands National Park, Utah, USA - Integrating fieldwork, ground-penetrating radar and airborne imagery analysis",2015,in,main data source for new analysis,,
