Item Title,Publication Year,Publication Title,in/out,use types,census,notes,,,,,,,,,,,,,,,
Data for community health assessment in rural Colorado: A comparison of electronic health records to public health surveys to describe childhood obesity,2017,Journal of Public Health Management and Practice,in,"ancillary data source for new analysis (e.g., as base map)",,https://demography.dola.colorado.gov/data/,,,,,,,,,,,,,,,
Quantifying decision making for data science: from data acquisition to modeling,2016,EPJ Data Science,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Effects of intertidal reclamation on tides and potential environmental risks: a numerical study for the southern Yellow Sea,2016,Environmental Earth Sciences,in,Providing study background,,,,,,,,,,,,,,,,,
The adaptation of urban farms to cities: The case of the Alella wine region within the Barcelona Metropolitan Region,2016,Land Use Policy,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Accessibility and equity: An approach for wider transport project assessment in Chile,2016,Research in Transportation Economics,in,main data source for new analysis,,,,,,,,,,,,,,,,,
System Dynamics Framework to Study the Effect of Material Performance on a Building's Lifecycle Energy Requirements,2016,Journal of Computing in Civil Engineering,in,"used for result evaluation (e.g., as ground truth)",,,,,,,,,,,,,,,,,
Ontology-based urban data exploration,2016,"Proceedings of the 2nd ACM SIGSPATIAL Workshop on Smart Cities and Urban Analytics, UrbanGIS 2016",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Characteristic variation and original analysis of emergent water source pollution accidents in China between 1985 and 2013,2016,Environmental Science and Pollution Research,in,Providing study background,,,,,,,,,,,,,,,,,
"A community-powered, asset-based approach to intersect oral urban health system planning in Chicago",2016,American Journal of Public Health,in,Providing study background,,,,,,,,,,,,,,,,,
Balance the wind power generation and transmission鈥攃ase study in China,2016,Wind Energy,in,Providing study background,,"short communications but not research articles, multi-source",,,,,,,,,,,,,,,
"Ecological security and ecosystem services in response to land use change in the coastal area of Jiangsu, China",2016,Sustainability (Switzerland),in,Providing study background,,,,,,,,,,,,,,,,,
Crime rate inference with big data,2016,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Low carbon urban transitioning in Shenzhen: A multi-level environmental governance perspective,2016,Sustainability (Switzerland),in,others,,,,,,,,,,,,,,,,,
Impact of large industrial emission sources on mortality and morbidity in Chile: A small-areas study,2016,Environment International,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Health-specific information and communication technology use and its relationship to obesity in high-poverty, Urban communities: Analysis of a population-based biosocial survey",2016,Journal of Medical Internet Research,in,Providing study background,,,,,,,,,,,,,,,,,
"Challenging, but not Trouble-Making: cultural elites in China鈥檚 urban heritage preservation",2016,Journal of Contemporary China,in,others,,,,,,,,,,,,,,,,,
Replicating Elite Dominance in Intangible Cultural Heritage Safeguarding: The Role of Local Government-Scholar Networks in China,2016,International Journal of Cultural Property,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Regulatory dynamism of environmental mobilization in urban China,2016,Regulation and Governance,in,Providing study background,,,,,,,,,,,,,,,,,
Simulating land use changes under alternative policy scenarios for conservation of native forests in south-central Chile,2016,Land Use Policy,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Future climate change impacts on apple flowering date in a Mediterranean subbasin,2016,Agricultural Water Management,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Spatially modelling the association between access to recreational facilities and exercise: The 'Multi-ethnic study of atherosclerosis',2016,Journal of the Royal Statistical Society. Series A: Statistics in Society,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Perceptions of environmental health risks among residents in the ""toxic Doughnut"": Opportunities for risk screening and community mobilization Environmental health",2015,BMC Public Health,in,Providing study background,,,,,,,,,,,,,,,,,
An RCT simulation study on performance and accuracy of inexact matching algorithms for patient identity in ambulatory care settings,2015,"Proceedings - 2015 IEEE International Conference on Healthcare Informatics, ICHI 2015",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Process intensification and integration of solar heat generation in the Chinese condiment sector - A case study of a medium sized Beijing based factory,2015,Energy Conversion and Management,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
A common spatial factor analysis model for measured neighborhood-level characteristics: The Multi-Ethnic Study of Atherosclerosis,2015,Health and Place,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Predictive modeling for public health: Preventing childhood lead poisoning,2015,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
"Small hydropower financing in China: External environment analyses, financing modes and problems with solutions",2015,Renewable and Sustainable Energy Reviews,in,others,,,,,,,,,,,,,,,,,
Food Rx: A community-university partnership to prescribe healthy eating on the south side of Chicago,2015,Journal of Prevention and Intervention in the Community,in,Providing study background,,,,,,,,,,,,,,,,,
Analysing bicycle-sharing system user destination choice preferences: Chicago's Divvy system,2015,Journal of Transport Geography,in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Traumatic event exposure and gambling: Associations with clinical, neurocognitive, and personality variables",2015,Annals of Clinical Psychiatry,in,aiding result interpreting,,,,,,,,,,,,,,,,,
City Transit Ridership Forecasting Based on Weather Conditions-Case Study of the Chicago Transit Authority (CTA),2015,ICTE 2015 - Proceedings of the 5th International Conference on Transportation Engineering,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Crime prediction using Twitter sentiment and weather,2015,"2015 Systems and Information Engineering Design Symposium, SIEDS 2015",in,main data source for new analysis,,,,,,,,,,,,,,,,,
"Patient-physician mistrust and violence against physicians in Guangdong Province, China: A qualitative study",2015,BMJ Open,in,Providing study background,,,,,,,,,,,,,,,,,
"Change in population characteristics and teen birth rates in 77 community areas: Chicago, Illinois, 1999鈥?009",2015,Public Health Reports,in,main data source for new analysis,,multi-sources,,,,,,,,,,,,,,,
Studying Neighborhoods Using Uncertain Data from the American Community Survey: A Contextual Approach,2015,Annals of the Association of American Geographers,in,"used for result evaluation (e.g., as ground truth)",,,,,,,,,,,,,,,,,
"Some sources of crime guns in Chicago: Dirty dealers, straw purchasers, and traffickers",2015,Journal of Criminal Law and Criminology,in,others,,,,,,,,,,,,,,,,,
Nice-Nastiness and Other Raced Social Interactions on Public Transport Systems,2015,City and Community,in,Providing study background,y,,,,,,,,,,,,,,,,
Rationales for Support That African American Grandmothers Provide to Their Children Who Are Parenting Adolescents,2015,Journal of School Nursing,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
An Examination of Criminal Justice Curricula in Colorado: Searching for Evidence-based Practices,2015,Journal of Criminal Justice Education,in,others,,"http://
highered.colorado.gov/Data/Search.aspx     
",,,,,,,,,,,,,,,
Aging village doctors in five counties in rural China: Situation and implications,2014,Human Resources for Health,in,aiding result interpreting,,,,,,,,,,,,,,,,,
A Bad Case of 鈥楶eanut Envy鈥? Concessions Markets and Monopoly Power at Chicago鈥檚 United Center,2014,Critical Sociology,in,"ancillary data source for new analysis (e.g., as base map)",,,,,,,,,,,,,,,,,
Understanding the impacts of local policies on distributed photovoltaic market development,2014,"ASME 2014 8th International Conference on Energy Sustainability, ES 2014 Collocated with the ASME 2014 12th International Conference on Fuel Cell Science, Engineering and Technology",in,Providing study background,,,,,,,,,,,,,,,,,
"Does the ""community prosecution"" strategy reduce crime? A test of chicago's experience",2014,American Law and Economics Review,,,,,,,,,,,,,,,,,,,
Criminal group embeddedness and the adverse effects of arresting a gang's leader: A comparative case study,2014,Criminology,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Multi-scale simulations of climate-change influence on Chicago heat Island,2014,"American Society of Mechanical Engineers, Fluids Engineering Division (Publication) FEDSM",in,main data source for new analysis,,,,,,,,,,,,,,,,,
Development and application of the Pedestrian Environment Index (PEI),2014,Journal of Transport Geography,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
The Geography of Citizen Crime Reporting,2013,American Journal of Community Psychology,in,Providing study background,,,,,,,,,,,,,,,,,
Making room for manufacturing: Understanding industrial land conversion in cities,2013,Journal of the American Planning Association,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Delineating a retesting zone using receiver operating characteristic analysis on serial quantiFERON tuberculosis test results in US healthcare workers,2012,Pulmonary Medicine,in,Providing study background,,,,,,,,,,,,,,,,,
DSaaS: A cloud service for persistent data structures,2016,CLOSER 2016 - Proceedings of the 6th International Conference on Cloud Computing and Services Science,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
The impact of community safety on house ranking,2016,"16th SIAM International Conference on Data Mining 2016, SDM 2016",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Does public transit spread crime? Evidence from temporary rail station closures,2015,Regional Science and Urban Economics,in,main data source for new analysis,,,,,,,,,,,,,,,,,
